Tiêu đề,Hãng,Dòng xe,Năm sản xuất,Số Km đã đi,Tình trạng,Hộp số,Nhiên liệu,Xuất xứ,Giá,Kiểu Dáng,Số Chỗ,Dung tich
Bán xe mazda 626 ngay chủ,Mazda,626,1993,105000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,45.000.000 đ,Sedan,5 ,2.0
Cerato 2017 MT siêu lướt siêu đẹp,Kia,cerato,2017,67000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,345.000.000 đ,Sedan,5 ,1.6
TOYOTA LANDCRUISER LC 300 2022 BH HÃNG 2027,Toyota,landcruiser,2022,2000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,4.650.000.000 đ,,,0
"Ford Escape 2005, tự động 3.0, màu đen 4x4",Ford,escape,2005,113000.0,Đã sử dụng,Tự động,Xăng,Nước khác,162.000.000 đ,SUV,5 ,2.3
Toyota CROSS 1.8V 2023✅Giảm Trước Bạ-Tặng Phụ Kiện,Toyota,corollacross,2023,,Mới,Tự động,Xăng,Thái Lan,860.000.000 đ,SUV / Cross over,,0
Lux A Plus màu đỏ sản xuất 2022,Vinfast,luxa2.0,2022,25000.0,Đã sử dụng,Tự động,Xăng,,628.000.000 đ,Sedan,,0
Porsche Macan ĐK 06/2016 1 Đời Chủ 50.000miles,Porsche,macan,2015,50000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,1.480.000.000 đ,SUV,5 ,2.0
cần bán xe  c250 cgi 2009,Mercedes Benz,cclass,2009,150000.0,Đã sử dụng,Số sàn,Xăng,Đức,265.000.000 đ,Sedan,5 ,3.0
Lexus ES 350 2008 rất ít đi,Lexus,es,2007,49500.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,650.000.000 đ,Sedan,5 ,2.5
Mazda CX30 Luxury - SUV Đô Thị - Giá Tốt,Mazda,cx30,2023,,Mới,Tự động,Xăng,Thái Lan,664.000.000 đ,Crossover,5 ,1.5
Grand i10 bản base chạy rất it đẹp như xe mới,Hyundai,grandi10,2021,13000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,300.000.000 đ,Sedan,5 ,1.2
cần bán kia morning 2018 Màu trắng tinh,Kia,morning,2018,86000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,238.000.000 đ,Hatchback,5 ,1.2
TOYOTA FORTUNER 2.7 AT 2017 MÁY XĂNG,Toyota,fortuner,2017,17000.0,Đã sử dụng,Tự động,Xăng,Nước khác,675.000.000 đ,SUV,7 ,2.4
Kia Cerato 2.0 AT 2018,Kia,cerato,2018,67000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,440.000.000 đ,Sedan,5 ,1.6
"Bán Celerio Ấn độ,Số Tự động.bs tp hcm",Suzuki,celerio,2019,90000.0,Đã sử dụng,Tự động,Xăng,,268.000.000 đ,Hatchback,5 ,1.0
🔥✅𝐓𝐎𝐘𝐎𝐓𝐀 𝐂𝐑𝐎𝐒𝐒 𝟏.𝟖𝐆 𝟐𝟎𝟐𝟑🛑 𝗚𝗶𝗮𝗼 𝗡𝗴𝗮𝘆 Đ𝘂̉ 𝗠𝗮̀𝘂🛑,Toyota,corollacross,2023,,Mới,Tự động,Xăng,Thái Lan,720.000.000 đ,SUV / Cross over,,0
✅ AVANZA 2022 AT ✅ODO 8000KM - SIÊU CỌP - MÀU BẠC,Toyota,avanza,2022,8000.0,Đã sử dụng,Tự động,Xăng,Nước khác,526.000.000 đ,Crossover,7 ,1.3
Hãng Ford bán Wildtrak 2020 2 cầu Odo 32.500km,Ford,ranger,2020,32500.0,Đã sử dụng,Tự động,Dầu,Thái Lan,715.000.000 đ,Bán tải / Pickup,5 ,2.0
Mercedes C200 Avantgade Plus 2022,Mercedes Benz,cclass,2022,10000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.539.000.000 đ,Sedan,5 ,3.0
"Huyndai Kona 2019, bản Full 1.6 Turbo, màu đen",Hyundai,kona,2019,52000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,512.000.000 đ,Crossover,5 ,1.6
"tải VAN Hiace 2008, số sàn, máy dầu, 6 chỗ, 900kg",Toyota,hiace,2009,162999.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,243.000.000 đ,Van/Minivan,16 ,2.7
Ford Bán Tải 2 cầu XLS đời 2022,Ford,ranger,2022,30000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,690.000.000 đ,Bán tải / Pickup,5 ,2.0
Cần bán Chevrolet captiva 2014 LTZ  2.4AT vàng xám,Chevrolet,captiva,2014,57999.0,Đã sử dụng,Tự động,Xăng,Việt Nam,306.000.000 đ,SUV,7 ,2.4
Mitsubishi Triton xe gia đình cực đẹp,Mitsubishi,triton,2013,152000.0,Đã sử dụng,Số sàn,Xăng,Thái Lan,210.000.000 đ,Bán tải / Pickup,5 ,2.4
Vinfast Fadil Plus - 2022,Vinfast,fadil,2022,17000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,335.000.000 đ,,,0
MERCEDES C180 AMG,Mercedes Benz,cclass,2021,29000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,1.038.000.000 đ,Sedan,5 ,3.0
Toyota Veloz Cross - 2023,Toyota,velozcross,2023,,Mới,Tự động,Xăng,Việt Nam,658.000.000 đ,SUV,7 ,1.5
Mazda 6 2.0 Premium siêu đẹp 1 chủ,Mazda,6,2019,60000.0,Đã sử dụng,Tự động,Xăng,,580.000.000 đ,Sedan,5 ,2.0
Huyndai Santafe cao cấp 2020,Hyundai,santafe,2020,62000.0,Đã sử dụng,Tự động,Dầu,Đang cập nhật,889.000.000 đ,SUV,7 ,2.2
ford mondeo 2004 số tự động hàng chất lượng,Ford,mondeo,2004,2000.0,Đã sử dụng,Tự động,Xăng,,125.000.000 đ,Sedan,5 ,2.5
OUTLANDER PREMIUM - Hỗ trợ 100% TB + 2 năm BHVC,Mitsubishi,outlander,2023,,Mới,Tự động,Xăng,Việt Nam,950.000.000 đ,SUV,7 ,2.0
HUYNDAI SANTAFE PREMIUM 2020 DẦU CAO CẤP,Hyundai,santafe,2020,62000.0,Đã sử dụng,Tự động,Dầu,,889.000.000 đ,SUV,7 ,2.2
FADIL 1.4AT bản Premium sx2020 biển HN 1 chủ,Vinfast,fadil,2020,40000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,345.000.000 đ,,,0
"FORD EVEREST 4X4 2019 - Biển Tphcm, Xe cá nhân",Ford,everest,2019,60000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,919.000.000 đ,SUV,7 ,2.5
"Chevrolet Captiva LTZ 2016, số tự động, bstp",Chevrolet,captiva,2016,76000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,396.000.000 đ,SUV,7 ,2.4
Bán xe SantaFe Trắng biển TP. Hà Nội,Hyundai,santafe,2019,79000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,790.000.000 đ,SUV,7 ,2.2
Bán xe chính chủ CRV bản L sx 2022 odo 13.000km,Honda,crv,2022,13000.0,Đã sử dụng,Tự động,Xăng,,930.000.000 đ,SUV,5 ,2.4
🚗 Accent 2019 MT bản đủ 🚗,Hyundai,accent,2019,46000.0,Đã sử dụng,Số sàn,Xăng,,360.000.000 đ,Sedan,5 ,1.4
"Mazda CX5 2.5AT 2 cầu 2018,màu đỏ,đi 6 vạn",Mazda,cx5,2018,61000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,598.000.000 đ,SUV,5 ,2.0
Lexus Lx570 Model 2015,Lexus,lx,2014,99000.0,Đã sử dụng,Tự động,Xăng,Nước khác,3.185.000.000 đ,SUV,7 ,3.4
cần bán sang yong 2008 máy dầu chính chủ,Ssangyong,stavic,2008,12345.0,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,145.000.000 đ,,,0
Honda CR-V 2.0AT 2009 đen,Honda,crv,2009,206000.0,Đã sử dụng,Tự động,Xăng,,320.000.000 đ,SUV,5 ,2.4
MAZDA 2 1.5AT bản Hatchback sx2017 biển Hà Nội,Mazda,2,2017,41000.0,Đã sử dụng,Tự động,Xăng,,375.000.000 đ,Sedan,5 ,1.5
Morning 2019 AT chuẩn 2 vạn siêu đẹp,Kia,morning,2019,21000.0,Đã sử dụng,Tự động,Xăng,,300.000.000 đ,Hatchback,5 ,1.2
Porsche Cayman Model 2021 Odo 1V - Xe Độc,Porsche,cayman,2021,10000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,3.599.000.000 đ,Sedan,2 ,0
Bán Ranger số sàn nhập Thái,Ford,ranger,2020,59000.0,Đã sử dụng,Số sàn,Dầu,Thái Lan,525.000.000 đ,Bán tải / Pickup,5 ,2.0
bán xe như hình nhanh gọn xe đẹp dịch vụ giữ gìn,Kia,morning,2017,300000.0,Đã sử dụng,Số sàn,Xăng,,170.000.000 đ,Hatchback,5 ,1.2
"Toyota Avanza 2019, số tự động, màu bạc",Toyota,avanza,2019,133000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,392.000.000 đ,Crossover,7 ,1.3
"1 SUẤT GIAO TRƯỚC TẾT, XE ĐUA CIVIC TYPER TRẮNG",Honda,civic,2023,,Mới,Tự động,Xăng,Nhật Bản,2.399.000.000 đ,Sedan,5 ,1.5
"GIẢM 150% TRƯỚC BẠ, TRẢ TRƯỚC 75TR NHẬN XE NGAY",Hyundai,stargazer,2022,,Mới,Tự động,Xăng,Nước khác,75.000.000 đ,Van/Minivan,7 ,1.5
Cần bán xe bán tải Cherolet Colorado.,Chevrolet,colorado,2019,29500.0,Đã sử dụng,Tự động,Dầu,Thái Lan,470.000.000 đ,Bán tải / Pickup,5 ,2.5
Cần bán KIA Cerato AT màu bạc Đăng ký 12/2019,Kia,cerato,2019,55000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,495.000.000 đ,Sedan,5 ,1.6
Toyota Veloz Cross ƯU ĐÃI không đóng thuế,Toyota,veloz,2023,,Mới,Tự động,Xăng,Việt Nam,658.000.000 đ,Minivan (MPV),,0
Toyota Innova E 2015 số sàn đẹp từ trong ra ngoài,Toyota,innova,2015,160000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,350.000.000 đ,Crossover,8 ,2.0
Mazda BT50 3.2AT 4x4 sản xuất 2018 đăng kí 2020,Mazda,bt50,2018,66000.0,Đã sử dụng,Số sàn,Dầu,,495.000.000 đ,Bán tải / Pickup,5 ,2.2
Toyota Camry 2.0E 2018 nhập khẩu Thái Lan,Toyota,camry,2018,70000.0,Đã sử dụng,Tự động,Xăng,,668.000.000 đ,Sedan,5 ,2.5
FORTUNER 2.7V MÁY XĂNG 1 CẦU 2022 LƯỚT 9.000 km,Toyota,fortuner,2022,9000.0,Đã sử dụng,Tự động,Xăng,,1.050.000.000 đ,SUV,7 ,2.4
Cần bán xe Ford Escape 2.0L số sàn,Ford,escape,2004,100000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,220.000.000 đ,SUV,5 ,2.3
Ceraro 2016 Tự Động Tiêu Chuẩn,Kia,cerato,2019,48000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,455.000.000 đ,Sedan,5 ,1.6
cx8 pre biển hn 1 chủ xe rất mới,Mazda,cx8,2019,48000.0,Đã sử dụng,Tự động,Xăng,,765.000.000 đ,SUV,7 ,2.5
VIOS G CVT 2022 LƯỚT 12.000 km - HỖ TRỢ VAY,Toyota,vios,2022,12000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,535.000.000 đ,Sedan,5 ,1.5
"nhận giữ chỗ Volkswagen Viloran MVP 2024,10 suất",Volkswagen,sharan,2023,,Đã sử dụng,Tự động,Xăng,Nước khác,50.000.000 đ,Minivan (MPV),,0
xe Toyota Camry Nhập Nhật - Siêu Chất,Toyota,camry,1995,100000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,87.000.000 đ,Sedan,5 ,2.5
Toyota Camry Gli 2.2 Nhập khẩu,Toyota,camry,2001,255864.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,135.000.000 đ,Sedan,5 ,2.5
TOURNEO___Biệt Thự Di Động,Ford,tourneo,2019,51111.0,Đã sử dụng,Tự động,Xăng,Việt Nam,695.000.000 đ,Van/Minivan,7 ,2.0
xe GĐ Cần Bán Colt 1.5 AT đời:2007 nhập 1 đời mới,Mitsubishi,colt,2007,106000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,235.000.000 đ,Hatchback,5 ,1.6
Santafe Dầu TC Đỏ tậu xe chỉ từ 190tr,Hyundai,santafe,2023,,Mới,Tự động,Dầu,Việt Nam,190.000.000 đ,SUV,7 ,2.2
Xpander 1.5AT 2021,Mitsubishi,xpander,2021,57000.0,Đã sử dụng,Tự động,Xăng,,535.000.000 đ,SUV,7 ,1.5
Peugeot 2008 GT Line 2021 siêu đẹp,Peugeot,2008,2021,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,655.000.000 đ,Crossover,5 ,1.2
✅ VINFAST VF5 100 TRIỆU NHẬN XE. FULL CHÍNH SÁCH,Vinfast,vf5,2023,,Mới,Tự động,Điện,Việt Nam,100.000.000 đ,SUV / Cross over,,0
fiat siena ngon bổ rẻ,Fiat,siena,2003,23567.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,42.000.000 đ,Sedan,5 ,1.2
KIA SELTOS X-LINE 2023 ĐỎ GIAO NGAY- GIẢM SỐC,Kia,seltos,2023,,Mới,Tự động,Xăng,Việt Nam,714.000.000 đ,Crossover,5 ,1.4
Hãng Ford bán Ranger XLS tựđộng 15.000km siêu mới,Ford,ranger,2022,15000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,606.000.000 đ,Bán tải / Pickup,5 ,2.0
Xpander Cross 2023 - Cam Đen - Giảm 100% trước bạ,Mitsubishi,xpandercross,2023,,Mới,Tự động,Xăng,Nước khác,703.000.000 đ,SUV,7 ,1.5
Mazda 3 2004 - Nguyên Bản Cực Chất,Mazda,3,2004,6000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,130.000.000 đ,Hatchback,5 ,1.5
Hyundai Creta 1.5 AT 2022 bản Cao Cấp 1 chủ,Hyundai,creta,2022,16000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,665.000.000 đ,Crossover,5 ,1.5
🔥 RUSH 2021 - 7 CHỖ STĐ XE GIA ĐÌNH 🔥,Toyota,rush,2021,35000.0,Đã sử dụng,Tự động,Xăng,Nước khác,575.000.000 đ,SUV,7 ,1.5
"Bán gấp BMW 528i, xe gia đình, mới 95%.",BMW,5series,2010,55000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,505.000.000 đ,Sedan,5 ,2.0
"TOYOTA VENZA 2.7, model 2010, nhập MỸ, xe gia đình",Toyota,venza,2010,52000.0,Đã sử dụng,Tự động,Xăng,Mỹ,545.000.000 đ,Crossover,5 ,2.7
Cần Bán 𝐅𝐎𝐑𝐃 𝐑𝐚𝐧𝐠𝐞𝐫 𝐋𝐈𝐌𝐈𝐓𝐄𝐃 𝟒𝐗𝟒 𝐀𝐓 𝟐𝟎𝟐𝟏 𝐌𝐨𝐝𝐞𝐥,Ford,ranger,2020,22000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,639.000.000 đ,Bán tải / Pickup,5 ,2.0
XPANDER AT ECO GIẢM 100% THUẾ TRƯỚC BẠ,Mitsubishi,xpander,2023,,Mới,Tự động,Xăng,Nước khác,598.000.000 đ,SUV,7 ,1.5
"CHEVROLET CRUZE 1.8 LTZ, xe chính chủ, đời 2017",Chevrolet,cruze,2017,42000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,350.000.000 đ,Sedan,5 ,1.8
Bán Xe Chevrolet Aveo 1.5LT SX Cuối 2014,Chevrolet,aveo,2014,129886.0,Đã sử dụng,Số sàn,Xăng,,164.000.000 đ,Sedan,5 ,1.5
MORNING S1.2 AT 2018 xe đi giữ kĩ rất mới,Kia,morning,2018,48000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,305.000.000 đ,Hatchback,5 ,1.2
Toyota Fortuner 2017 4x2 máy xăng siêu đẹp,Toyota,fortuner,2017,83000.0,Đã sử dụng,Tự động,Xăng,Nước khác,670.000.000 đ,SUV,7 ,2.4
Công ty bán xe vios 2013,Toyota,vios,2013,19732.0,Đã sử dụng,Tự động,Xăng,,299.000.000 đ,Sedan,5 ,1.5
"Toyota Innova 2.0E 2021 xe TP, số sàn odo 36.000km",Toyota,innova,2021,36000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,619.000.000 đ,Crossover,8 ,2.0
DEAWOO Nubira 2001 STD - CHÍNH CHỦ,Daewoo,nubira,2001,10000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,99.000.000 đ,Sedan,5 ,1.6
New Mazda CX-8,Mazda,cx8,2022,,Mới,Tự động,Xăng,Nhật Bản,949.000.000 đ,SUV,7 ,2.5
mercedesbenz siêu chất,Mercedes Benz,glkclass,2015,86000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,660.000.000 đ,SUV,5 ,3.0
WIGO 1.2 SỐ TỰ ĐỘNG MÀU TRẮNG 2023,Toyota,wigo,2023,,Mới,Tự động,Xăng,Nước khác,390.000.000 đ,Hatchback,5 ,1.2
"Mercedes c200 2.0,  đen, năm 2002",Mercedes Benz,cclass,2002,280000.0,Đã sử dụng,Tự động,Xăng,,90.000.000 đ,Sedan,5 ,3.0
Lacenti nhập khẩu 2009 cần bán,Daewoo,lacetti,2009,90000.0,Đã sử dụng,Tự động,Xăng,,200.000.000 đ,Sedan,5 ,1.6
Bán xe toyota land cruiser 2005,Toyota,landcruiser,2005,670000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,400.000.000 đ,,,0
Kia Sedona 2019 Platinum dầu,Kia,sedona,2019,770000.0,Đã sử dụng,Tự động,Xăng,Đang cập nhật,875.000.000 đ,Van/Minivan,7 ,2.2
Morning 2019 bản S nội thất 2 màu cao cấp nhất,Kia,morning,2019,30000.0,Đã sử dụng,Tự động,Xăng,,320.000.000 đ,Hatchback,5 ,1.2
hi lander đời 205 nhu cầu không sử dụng cần bán,Isuzu,hilander,2005,200000.0,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,110.000.000 đ,SUV,8 ,2.5
YARIS CROSS 1.5 XĂNG ĐIỆN TRẮNG -GIÁ 756 TRIỆU,Toyota,1174,2023,,Mới,Tự động,Động cơ Hybrid,Nước khác,756.000.000 đ,SUV / Cross over,,0
Tucson 2.0DAT sx 2019-Dầu Full. 1 CHỦ MUA MỚI,Hyundai,tucson,2019,51000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,699.000.000 đ,Crossover,5 ,2.0
"Xe gia đình đang sử dụng, do ít đi nên bán",Nissan,livina,2010,131.0,Đã sử dụng,Tự động,Xăng,,230.000.000 đ,,7,0
xe đẹp,Hyundai,genesis,2010,46000.0,Đã sử dụng,Tự động,Xăng,,368.000.000 đ,Coupe,4 ,2.0
Xe Acent bản đặc biệt đk 2020. Xe gia đình,Hyundai,accent,2019,100000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,409.000.000 đ,Sedan,5 ,1.4
ISUZU HILANDER 2006 BẢN ĐỦ - MÁY DẦU 8 CHỖ,Isuzu,hilander,2006,8998.0,Đã sử dụng,Số sàn,Dầu,,152.000.000 đ,SUV,8 ,2.5
Chevrolet Captiva LT 9/2007 số sàn trang bị film c,Chevrolet,captiva,2007,116000.0,Đã sử dụng,Số sàn,Xăng,,155.000.000 đ,SUV,7 ,2.4
Mazda 3s 2014,Mazda,3,2014,93000.0,Đã sử dụng,Tự động,Xăng,,299.000.000 đ,Hatchback,5 ,1.5
Lexus ES-250-2021 Trắng đã Lăn Bánh 7.400km,Lexus,es,2021,7400.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,2.250.000.000 đ,Sedan,5 ,2.5
Triton 2019 4x2AT Chạy 87.000km bảo dưỡng hãng,Mitsubishi,triton,2019,87000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,440.000.000 đ,Bán tải / Pickup,5 ,2.4
Raptor 2023 Xám có sẵn giao ngay,Ford,ranger,2023,,Mới,Tự động,Dầu,Thái Lan,1.306.000.000 đ,Bán tải / Pickup,5 ,2.0
PEUGEOT 408 Thế hệ mới,Peugeot,408,2023,,Mới,Tự động,Xăng,Việt Nam,969.000.000 đ,Crossover,5 ,1.6
Ford Ecosport 2018 1.0 ecoboos bản cao cấp nhất,Ford,ecosport,2018,42000.0,Đã sử dụng,Tự động,Xăng,,445.000.000 đ,SUV,5 ,1.5
SORENTO 2.4AT 2019 BẢN TIÊU CHUẨN CỰC ĐẸP BAO TEST,Kia,sorento,2019,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,595.000.000 đ,SUV,6 ,2.2
Camry 2.0Q SX 2021 ( đăng ký 2022) odo  31.743 Km,Toyota,camry,2021,31743.0,Đã sử dụng,Tự động,Xăng,Thái Lan,1.060.000.000 đ,Sedan,5 ,2.5
Bán xe 07 chỗ cho gia đình Tourneo cao cấp biểnđep,Ford,tourneo,2019,46912.0,Đã sử dụng,Tự động,Xăng,Việt Nam,620.000.000 đ,Van/Minivan,7 ,2.0
Hãng bán Navara EL AT 1 chủ mua mới BH 1 năm,Nissan,navara,2017,89000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,398.000.000 đ,Bán tải / Pickup,5 ,2.5
SANTAFE DẦU CC NHẬN XE CHỈ TỪ 270 TRIỆU -GIAO NGAY,Hyundai,santafe,2023,,Mới,Tự động,Dầu,Hàn Quốc,1.199.000.000 đ,SUV,7 ,2.2
Toyota VIOS 2009 SIÊU TIẾT KIỆM - CỰC CHẤT,Toyota,vios,2009,7000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,135.000.000 đ,Sedan,5 ,1.5
Đổi xe bán tải cần bán,Chevrolet,cruze,2017,66000.0,Đã sử dụng,Số sàn,Xăng,Mỹ,268.000.000 đ,Sedan,5 ,1.8
FOCUS TITANIUM (BẢN FULL),Ford,focus,2017,117000.0,Đã sử dụng,Tự động,Xăng,,395.000.000 đ,Sedan,5 ,2.0
Chevrolet Captiva 2008 Tự động,Chevrolet,captiva,2008,,Đã sử dụng,Tự động,Xăng,Mỹ,187.000.000 đ,SUV,7 ,2.4
Toyota Vios 2023,Toyota,vios,2023,,Mới,Tự động,Xăng,Nhật Bản,479.000.000 đ,Sedan,5 ,1.5
Bán xe Toyota Altis 2023 1.8V - Trắng ngọc trai,Toyota,corollaaltis,2023,11000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,750.000.000 đ,Sedan,5 ,1.8
Kia monring số sàn 1.0,Kia,morning,2015,110000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,165.000.000 đ,Hatchback,5 ,1.2
Mitsu Triton Siêu Lướt odo mới chỉ 1v sx2022,Mitsubishi,triton,2022,10000.0,Đã sử dụng,Tự động,Dầu,,530.000.000 đ,Bán tải / Pickup,5 ,2.4
Altis 1.8G 2020 - Trắng ngọc Trai odo : 51.096 Km,Toyota,corollaaltis,2020,51096.0,Đã sử dụng,Tự động,Xăng,Việt Nam,610.000.000 đ,Sedan,5 ,1.8
Toyota Innova 2014 E MT,Toyota,innova,2014,100000.0,Đã sử dụng,Số sàn,Xăng,,345.000.000 đ,Crossover,8 ,2.0
Chevrolet Cruze 2017 1 chủ sd từ đầu,Chevrolet,cruze,2017,90000.0,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,255.000.000 đ,Sedan,5 ,1.8
Ford Transit 2023 đủ màu có sẵn giao ngay,Ford,transit,2023,,Mới,Số sàn,Dầu,Việt Nam,849.000.000 đ,Van/Minivan,16 ,2.2
LandRover Range Rover HSE 3.0 4x4 nhập Anh sx 2015,LandRover,rangerover,2015,70000.0,Đã sử dụng,Tự động,Xăng,Nước khác,2.830.000.000 đ,SUV,4 ,5.0
CHỈ CÓ 398tr SỞ HỮU NAVARA EL 2.5L AT 4x2 TỰ ĐỘNG,Nissan,navara,2017,89122.0,Đã sử dụng,Tự động,Dầu,Thái Lan,398.000.000 đ,Bán tải / Pickup,5 ,2.5
X6 35i máy 3.0 sản xuất 2009 bao nguyên bản,BMW,x6,2010,57000.0,Đã sử dụng,Tự động,Xăng,Mỹ,420.000.000 đ,SUV,5 ,3.0
Mazda 3 2009 2.0 màu đỏ số tự động,Mazda,3,2009,130000.0,Đã sử dụng,Tự động,Xăng,Đài Loan,225.000.000 đ,Hatchback,5 ,1.5
"Innova 2.0E 2022 , odo 42.611 Km , Biển HCM",Toyota,innova,2022,42611.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,690.000.000 đ,Crossover,8 ,2.0
FORD EVEREST 2006 8 CHỖ NGỒI CỰC CHẤT,Ford,everest,2006,10000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,110.000.000 đ,SUV,7 ,2.5
TOYOTA ZACE 2003,Toyota,zace,2003,156580.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,92.000.000 đ,SUV,8 ,1.8
XPANDER PREMIUM 2022 ODO 3V6 GIÁ ĐÀM PHÁN,Mitsubishi,xpander,2022,36000.0,Đã sử dụng,Tự động,Xăng,Nước khác,590.000.000 đ,SUV,7 ,1.5
Huyndai Elantra đời 2015 máu trắng 4 chỗ,Hyundai,elantra,2015,5000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,400.000.000 đ,Sedan,5 ,1.6
cần bán chú camry LE v6 3.5 nhập,Toyota,camry,2006,920000.0,Đã sử dụng,Tự động,Xăng,Mỹ,295.000.000 đ,Sedan,5 ,2.5
TOYOTA VAN 6N 850KG 2001,Toyota,hiace,2001,120000.0,Đã sử dụng,Số sàn,Xăng,Nhật Bản,65.000.000 đ,Van/Minivan,16 ,2.7
Toyota Veloz Cross 2023,Toyota,velozcross,2023,,Mới,Tự động,Xăng,Nhật Bản,618.000.000 đ,SUV,7 ,1.5
Fortuner 2022 máy dầu tự động,Toyota,fortuner,2022,48000.0,Đã sử dụng,Tự động,Dầu,Đang cập nhật,980.000.000 đ,SUV,7 ,2.4
"CAMRY 1999 màu đen, nối thất ốp gỗ",Toyota,camry,1999,200000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,148.000.000 đ,Sedan,5 ,2.5
Toyota Corolla Cross HV 2020,Toyota,corollacross,2020,38000.0,Đã sử dụng,Tự động,Động cơ Hybrid,Thái Lan,775.000.000 đ,,,0
"🟢 Ford Everest Titanium 4x2 Cực Đẹp, Luớt, Góp 80%",Ford,everest,2019,,Đã sử dụng,Tự động,Dầu,Thái Lan,812.000.000 đ,SUV,7 ,2.5
toyota altis 1.8G 2008 đklđ 12-2009 siêu cọp.,Toyota,corollaaltis,2008,74000.0,Đã sử dụng,Tự động,Xăng,,295.000.000 đ,Sedan,5 ,1.8
CARNIVAL 2.2D sx 2022,Kia,carnival,2022,10000.0,Đã sử dụng,Tự động,Động cơ Hybrid,Việt Nam,1.138.000.000 đ,Van/Minivan,8 ,2.2
Escape2008,Ford,escape,2008,10000.0,Đã sử dụng,Tự động,Xăng,Mỹ,220.000.000 đ,SUV,5 ,2.3
Mazda Cx8 Premium AWD sx 2019,Mazda,cx8,2019,420000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,798.000.000 đ,SUV,7 ,2.5
"Nhận giữ chỗ Volkswagen Viloran MVP 2024,10 suất",Volkswagen,sharan,2023,,Mới,Tự động,Xăng,Nước khác,50.000.000 đ,Minivan (MPV),,0
Toyota Camry 2.4G AT - SX 2010,Toyota,camry,2010,1000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,395.000.000 đ,Sedan,5 ,2.5
KIA CERATO 1.6AT Đời 2018 Full Option Chính Chủ,Kia,cerato,2018,88000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,398.000.000 đ,Sedan,5 ,1.6
